Aug 02, 2018	198.42	202.20	185.89	187.18	122,037,000	889,613,694
Aug 01, 2018	208.20	209.32	193.93	198.33	151,024,000	931,995,124
Jul 31, 2018	213.55	215.45	196.47	209.57	144,526,000	954,389,617
Jul 30, 2018	217.41	218.93	202.49	216.29	157,531,000	970,098,140
Jul 29, 2018	220.03	224.51	214.24	217.20	152,800,992	980,186,176
Jul 28, 2018	220.66	223.76	214.58	220.30	127,041,000	981,411,072
Jul 27, 2018	220.54	224.55	212.12	221.03	118,509,000	979,312,640
Jul 26, 2018	226.18	231.60	217.92	221.12	123,371,000	1,002,711,552
Jul 25, 2018	222.58	226.72	209.79	222.54	114,760,000	985,181,184
Jul 24, 2018	193.92	223.65	191.81	223.29	168,768,000	856,956,800
Jul 23, 2018	192.34	205.42	190.32	193.84	93,810,304	848,604,096
Jul 22, 2018	191.78	203.27	186.49	192.70	46,066,100	844,732,160
Jul 21, 2018	184.45	198.76	179.32	194.94	39,662,800	811,125,056
Jul 20, 2018	200.05	200.15	180.01	184.37	58,021,000	878,298,304
Jul 19, 2018	209.37	212.32	198.47	199.66	101,966,000	917,710,080
Jul 18, 2018	212.22	225.26	201.83	209.34	108,763,000	928,669,184
Jul 17, 2018	191.09	213.67	181.87	210.43	102,171,000	834,844,736
Jul 16, 2018	175.15	191.60	170.15	190.65	64,024,200	763,930,944
Jul 15, 2018	174.02	182.10	172.19	178.09	51,919,300	757,762,496
Jul 14, 2018	175.37	178.37	170.39	174.53	65,835,000	762,389,440
Jul 13, 2018	155.10	185.12	155.10	175.59	87,204,000	673,179,520
Jul 12, 2018	159.20	160.06	152.20	155.54	42,486,300	689,785,344
Jul 11, 2018	161.46	164.76	157.25	160.29	41,382,400	698,405,120
Jul 10, 2018	167.30	170.15	158.97	161.10	55,215,300	722,504,640
Jul 09, 2018	172.41	176.95	167.57	167.57	40,715,700	743,312,320
Jul 08, 2018	177.41	181.18	172.34	172.73	36,348,200	763,637,568
Jul 07, 2018	175.19	179.18	168.89	177.39	41,225,500	752,812,480
Jul 06, 2018	177.24	179.18	166.09	176.34	49,916,100	760,339,072
Jul 05, 2018	183.14	188.21	174.25	177.03	43,696,600	784,342,848
Jul 04, 2018	180.10	187.31	176.23	182.38	42,678,600	770,052,672
Jul 03, 2018	182.63	191.87	178.95	179.05	44,685,100	779,572,352
Jul 02, 2018	165.21	185.34	163.48	184.09	51,703,800	704,020,096
Jul 01, 2018	169.39	171.64	161.09	167.62	41,191,400	720,630,592
Jun 30, 2018	163.71	173.49	158.72	163.99	41,442,600	695,259,136
Jun 29, 2018	154.21	165.08	148.13	163.28	37,554,300	653,868,672
Jun 28, 2018	166.24	166.24	149.01	154.10	31,601,200	703,636,672
Jun 27, 2018	163.22	167.01	156.68	166.13	37,729,200	689,709,120
Jun 26, 2018	176.92	177.26	163.20	163.20	43,075,600	746,292,288
Jun 25, 2018	167.06	179.25	164.55	176.02	49,277,800	703,523,968
Jun 24, 2018	171.63	171.63	156.68	167.51	40,595,500	721,537,280
Jun 23, 2018	168.34	172.72	166.20	171.02	40,087,600	706,488,704
Jun 22, 2018	191.70	193.47	163.54	168.79	48,782,000	803,199,936
Jun 21, 2018	193.76	197.42	189.12	192.73	43,987,900	810,427,264
